Address,PSI Status,PSI Error,Performance Score,Total Size Savings (Bytes),Total Time Savings (ms),Total Requests,Total Page Size (Bytes),HTML Size (Bytes),HTML Count,Image Size (Bytes),Image Count,CSS Size (Bytes),CSS Count,JavaScript Size (Bytes),JavaScript Count,Font Size (Bytes),Font Count,Media Size (Bytes),Media Count,Other Size (Bytes),Other Count,Third Party Size (Bytes),Third Party Count,Core Web Vitals Assessment,CrUX First Contentful Paint Time (ms),CrUX First Contentful Paint Category,CrUX First Input Delay Time (ms),CrUX First Input Delay Category,CrUX Largest Contentful Paint Time (ms),CrUX Largest Contentful Paint Category,CrUX Cumulative Layout Shift,CrUX Cumulative Layout Shift Category,CrUX Interaction to Next Paint Category,CrUX Interaction to Next Paint (ms),CrUX Time to First Byte Category,CrUX Time to First Byte (ms),Eliminate Render-Blocking Resources Savings (ms),Defer Offscreen Images Savings (ms),Efficiently Encode Images Savings (ms),Properly Size Images Savings (ms),Minify CSS Savings (ms),Minify JavaScript Savings (ms),Reduce Unused CSS Savings (ms),Reduce Unused JavaScript Savings (ms),Serve Images in Next-Gen Formats Savings (ms),Enable Text Compression Savings (ms),Preconnect to Required Origins Savings (ms),Server Response Times (TTFB) (ms),Multiple Redirects Savings (ms),Preload Key Requests Savings (ms),Use Video Format for Animated Images Savings (ms),Total Image Optimization Savings (ms),Avoid Serving Legacy JavaScript to Modern Browsers Savings (Bytes)
https://www.andelskassen.dk/privat/investering/lei/,Success,NA,61,398344,2709,29,2944215,20123,2,170046,5,45992,2,329547,9,2376392,8,0,0,2115,3,121436,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703,0,0,300,0,0,300,1050,300,0,0,56,0,0,0,600,66
https://www.andelskassen.dk/privat/bolig/byg-nyt-eller-byg-om/,Success,NA,56,784194,4732,33,3447230,26049,2,645861,5,48037,3,348172,12,2376996,8,0,0,2115,3,121435,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698,0,0,1650,0,0,150,900,1200,0,0,134,0,0,0,2850,66
https://www.andelskassen.dk/erhverv/betalinger/fleksible-loesninger-til-din-virksomhed/,Success,NA,48,6309712,31611,28,7068123,21842,2,4292236,4,45992,2,329546,9,2376392,8,0,0,2115,3,121435,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,0,0,10200,0,0,200,950,19500,0,0,62,0,0,0,29700,66
https://www.andelskassen.dk/privat/bolig/energioptimering/,Success,NA,59,544923,3179,30,3129389,21040,2,351887,6,46596,2,330453,9,2377298,8,0,0,2115,3,121436,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707,0,0,750,0,0,150,750,750,0,0,72,0,0,0,1500,66
https://www.andelskassen.dk/om-banken/samarbejdspartnere/,Success,NA,52,220863,1515,49,2875164,22280,2,98839,25,45992,2,329546,9,2376392,8,0,0,2115,3,121435,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685,0,0,0,0,0,150,620,0,0,0,60,0,0,0,0,66
https://www.andelskassen.dk/erhverv/kundeprogram/storkunder/,Success,NA,40,5679332,28200,30,5890720,20031,2,3116643,6,45992,2,329547,9,2376392,8,0,0,2115,3,121436,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693,0,0,13500,0,0,150,900,0,0,0,57,0,0,12900,13500,66
https://www.andelskassen.dk/privat/investering/investeringsaftaler/,Success,NA,45,1169069,6817,38,3818553,26893,2,1019058,10,47433,3,346662,12,2376392,8,0,0,2115,3,121435,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675,0,1200,450,0,0,150,900,3300,0,0,142,0,0,0,4950,66
https://www.andelskassen.dk/netbank/,Success,NA,48,925513,5163,47,3914963,22168,3,807442,15,77518,4,581654,10,2417598,9,0,0,8583,6,994228,29,Pass,929000,Good,18000,Good,1223000,Good,"0,010",Good,Good,139,Good,372,750,0,750,0,0,0,150,1650,1800,0,0,63,0,0,0,2550,9179
https://www.andelskassen.dk/nyheder/2022/oktober/handler-du-paa-nettet/,Success,NA,52,761813,4220,29,3136341,21223,2,359261,5,46596,2,330452,9,2376694,8,0,0,2115,3,121435,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704,0,1050,0,0,0,150,900,1350,0,0,66,0,0,0,2400,66
https://www.andelskassen.dk/om-banken/investor/rapporter/,Success,NA,60,598032,3460,29,3042383,20389,2,266132,5,46596,2,330151,9,2376996,8,0,0,2119,3,121440,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701,0,750,0,0,0,150,750,1050,0,0,59,0,0,0,1800,66
https://www.andelskassen.dk/erhverv/produkter/forsikring/,Success,NA,52,4851119,24823,31,5893151,24755,2,3092169,3,48339,3,348475,12,2377298,8,0,0,2115,3,121436,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701,0,0,10050,0,150,150,900,12750,0,0,122,0,0,0,22800,66
https://www.andelskassen.dk/om-banken/organisation-og-ledelse/organisation/,Success,NA,60,609157,3640,30,3051346,20356,2,276944,6,45992,2,329547,9,2376392,8,0,0,2115,3,121436,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702,0,750,0,0,0,150,900,1050,0,0,88,0,0,0,1800,66
https://www.andelskassen.dk/privat/investering/forbrugerinformation/,Success,NA,61,4794554,23929,28,5467159,20815,2,2692294,4,45992,2,329551,9,2376392,8,0,0,2115,3,121440,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,0,3300,9900,0,0,150,900,8850,0,0,134,0,0,0,22050,66
